MHF,9.125,9.125,1.599128127,9.125,9.375,7200,28/06/1990
MHD,16.94000053,17.42000008,15.70906258,16.94000053,17.56999969,80100,19/10/2016
MHD,17.20999908,17.31999969,14.28134918,17.20999908,17.31999969,14700,16/04/2015
CLWT,5.445000172,5.445000172,5.445000172,4.949999809,5.445000172,500,18/08/2011
RRC,2.041670084,1.958330035,1.864092827,1.916669965,2.041670084,318100,26/07/2000
EGHT,7.960000038,7.960000038,7.960000038,7.880000114,8.010000229,507900,13/02/2015
PEZ,23.85000038,24.22999954,22.68729973,23.80999947,24.22999954,1108300,21/12/2007
OXLC,16.25,16.35000038,7.498221397,16.18000031,16.44000053,47600,05/08/2014
AMSWA,9.390000343,9.31000042,6.771995544,8.989999771,9.390000343,136800,21/12/2011
AAPL,77.11571503,75.97428894,67.70626068,75.79714203,77.14286041,68812800,04/04/2014
RRC,3.093329906,3.099999905,2.95082283,3.073329926,3.133330107,123100,28/02/2002
CRCM,9.149999619,9.130000114,9.130000114,9.119999886,9.25,58900,27/08/2014
MHD,15.78999996,15.76000023,6.609322071,15.76000023,15.84000015,17400,14/04/2005
GTS,16.89999962,17.47999954,17.47999954,16.85000038,17.63999939,92600,08/06/2012
APO,17.87999916,17.94000053,12.17200947,17.70000076,18.09000015,412200,05/05/2011
RRD,5.390625,5.375,1.213146687,5.34375,5.421875,38400,11/03/1982
AHH,10.64000034,10.40999985,7.806931019,10.27999973,10.64000034,52800,24/10/2013
MHF,8.625,8.625,2.080336809,8.625,8.625,2200,28/09/1994
GHDX,11.05000019,11.06000042,11.06000042,10.89999962,11.23999977,163900,22/03/2006
GHDX,30.5,30.36000061,30.36000061,28,31.07999992,670900,11/01/2016
RRD,5.59375,5.546875,1.251939058,5.5,5.59375,46400,10/05/1982
AMSWA,9.300000191,9.460000038,7.707408428,9.300000191,9.479999542,39000,19/05/2014
FLWS,7.400000095,7.400000095,7.400000095,7.369999886,7.449999809,100800,23/02/2005
MHD,16.875,16.5625,4.309126377,16.5625,16.875,48300,04/12/1998
VIAV,48.64619064,52.78725815,52.78725815,47.96359634,53.87940979,11055500,16/11/2001
RRC,8.75,9,7.949627876,8.75,9,193200,02/10/1996
PEZ,22.88999939,22.68000031,21.23599243,22.68000031,22.88999939,6900,04/04/2008
PEY,16.37000084,16.28000069,10.09656143,16.26000023,16.44000053,95600,18/12/2006
GTS,24.06999969,24.17000008,24.17000008,23.85000038,24.25,55900,23/01/2018
APO,21.95999908,22.36000061,17.77335358,21.95999908,22.61000061,660200,14/07/2015
CLWT,3.98732996,4.407050133,4.407050133,3.98732996,4.407050133,11300,24/02/1999
